School,G,W,L,W - L %,SRS,SOS,W,L,W,L,W,L,Tm., Opp., ,MP,FG,FGA,FG %,3P,3PA,3P %,FT,FTA,FT %,ORB,TRB,AST,STL,BLK,TOV,PF,InNCAA
Eastern Washington,28,8,20,.286,-8.61,-2.35,5,9,5,6,2,13,1736,1893,,1125,611,1464,.417,179,533,.336,335,507,.661,270,877,388,146,48,456,578,0
Elon,31,8,23,.258,-10.93,-2.79,5,11,5,8,2,13,1868,2090,,1250,665,1618,.411,171,540,.317,367,594,.618,308,998,338,240,64,475,556,0
Evansville,28,11,17,.393,0.81,2.91,5,13,10,5,1,10,1986,2045,,1125,695,1534,.453,229,602,.380,367,548,.670,268,909,438,133,59,396,535,0
Fairfield,30,15,15,.500,-2.19,-3.23,11,7,7,5,6,8,2041,2010,,,736,1728,.426,159,523,.304,410,567,.723,369,1051,438,226,192,392,577,0
Fairleigh Dickinson ,33,20,13,.606,-4.13,-6.91,13,5,12,3,7,8,2432,2310,,,894,1975,.453,218,626,.348,426,640,.666,408,1200,498,237,145,466,624,1
Florida A&M,29,14,15,.483,-15.06,-9.24,10,8,7,3,6,11,1972,2141,,,702,1650,.425,156,476,.328,412,627,.657,,1056,328,213,41,502,584,0
Florida Atlantic,27,10,17,.370,-9.02,-7.13,10,10,3,8,7,8,2073,2124,,1105,747,1702,.439,193,549,.352,386,601,.642,386,1056,356,235,117,466,549,0
Florida International,30,13,17,.433,-3.90,0.34,4,10,8,7,3,9,2028,2136,,,704,1587,.444,136,439,.310,484,747,.648,387,1147,396,205,99,565,639,0
Florida State,31,12,19,.387,6.82,8.99,4,12,9,7,3,8,2128,2170,,1250,756,1671,.452,200,557,.359,416,626,.665,309,1028,394,216,100,496,601,0
Florida ,32,24,8,.750,20.18,7.12,12,4,13,3,6,4,2438,2020,,1290,844,1751,.482,244,626,.390,506,716,.707,366,1186,475,228,146,444,598,1
Fordham,29,13,16,.448,-1.79,-0.34,8,8,9,4,3,10,1829,1871,,,648,1535,.422,189,559,.338,344,536,.642,352,977,382,218,123,475,497,0
Fresno State,30,16,14,.533,1.14,0.31,9,9,10,6,5,7,2143,2109,,,759,1742,.436,216,615,.351,409,625,.654,371,1159,446,170,121,478,519,0
Furman,29,16,13,.552,-3.96,-3.72,9,7,11,2,5,8,2120,1903,,,754,1609,.469,267,678,.394,345,492,.701,301,933,470,266,63,427,498,0
Gardner-Webb,30,18,12,.600,-5.88,-8.10,13,7,11,2,5,9,2172,2055,,1205,780,1807,.432,230,707,.325,382,541,.706,391,1141,447,250,94,461,516,0
George Mason,29,16,13,.552,0.93,-2.83,10,8,10,2,5,8,2127,2018,,,736,1644,.448,202,556,.363,453,652,.695,329,995,418,230,92,359,499,0
George Washington ,30,22,8,.733,10.62,1.05,11,5,10,3,8,4,2308,2021,,1205,833,1750,.476,162,447,.362,480,693,.693,390,1098,484,293,128,448,528,1
Georgetown,32,19,13,.594,9.86,6.54,8,8,12,5,4,6,2061,1955,,1290,733,1620,.452,252,690,.365,343,487,.704,332,999,462,218,148,439,556,0
Georgia Southern,31,18,13,.581,-2.32,-5.32,10,6,12,1,5,9,2506,2331,,1260,878,2048,.429,202,616,.328,548,766,.715,438,1236,461,309,139,485,728,0
Georgia State,29,14,15,.483,-8.08,-5.66,11,9,8,4,5,11,2049,2097,,1170,722,1694,.426,257,700,.367,348,496,.702,325,988,375,190,139,378,504,0
Georgia Tech ,32,20,12,.625,17.21,9.78,8,8,13,3,4,6,2371,2133,,1290,849,1877,.452,190,570,.333,483,699,.691,400,1248,471,265,162,483,648,1
Georgia,28,8,20,.286,-1.22,6.46,2,14,8,9,0,9,1683,1898,,1130,585,1480,.395,153,512,.299,360,568,.634,312,895,271,209,92,427,551,0
Gonzaga ,31,26,5,.839,13.30,4.37,12,2,14,0,6,3,2454,2159,,1240,856,1702,.503,153,403,.380,589,797,.739,368,1191,486,169,106,416,536,1
Grambling,26,14,12,.538,-17.12,-12.75,11,7,9,3,5,8,1732,1806,,1055,631,1545,.408,173,499,.347,297,482,.616,304,959,371,178,94,410,544,0
Green Bay,28,17,11,.607,-1.95,-0.09,10,6,10,4,7,6,1883,1927,,,666,1476,.451,180,482,.373,371,504,.736,253,875,383,164,58,370,499,0
Hampton,30,17,13,.567,-9.20,-10.96,13,5,7,2,8,9,1973,1920,,1215,701,1604,.437,148,441,.336,423,690,.613,373,1082,358,247,80,522,584,0
Hartford,28,8,20,.286,-15.12,-4.23,4,14,7,5,0,13,1665,1954,,1120,633,1617,.391,129,448,.288,270,429,.629,357,959,251,188,54,409,590,0
Harvard,27,12,15,.444,-6.73,-4.47,7,7,8,4,4,10,1813,1874,,1095,636,1505,.423,166,507,.327,375,532,.705,327,969,355,220,92,473,515,0
Hawaii,29,16,13,.552,4.07,1.86,7,11,13,4,2,8,1990,1926,,,748,1708,.438,178,529,.336,316,478,.661,378,992,492,195,118,372,487,0
High Point,31,13,18,.419,-7.69,-7.39,7,9,10,4,3,12,2310,2206,,1260,821,1881,.436,194,567,.342,474,729,.650,429,1223,445,290,107,519,656,0
Hofstra,30,21,9,.700,2.74,-2.53,12,6,10,2,10,6,2157,1982,,1220,764,1699,.450,217,614,.353,412,631,.653,375,1095,393,237,136,420,584,0
Holy Cross,32,25,7,.781,5.88,-4.21,13,1,13,3,12,4,2140,1817,,1295,763,1735,.440,198,551,.359,416,633,.657,392,1109,448,329,159,431,548,0
Houston,32,18,14,.563,4.64,3.92,9,7,12,2,4,10,2226,2203,,1280,779,1945,.401,279,831,.336,389,614,.634,435,1050,390,331,134,397,731,0
Howard,28,5,23,.179,-20.49,-9.83,2,16,2,9,3,13,1792,2065,,1120,615,1657,.371,205,651,.315,357,530,.674,376,970,265,195,89,439,610,0
Idaho State,27,9,18,.333,-14.85,-5.89,3,11,7,6,1,11,1776,1893,,1100,605,1463,.414,150,467,.321,416,599,.694,279,847,343,219,99,404,534,0
Idaho,30,8,22,.267,-6.94,-1.54,6,12,6,6,2,13,1856,1979,,1210,699,1702,.411,159,513,.310,299,468,.639,370,1025,334,169,88,387,523,0
Illinois-Chicago,29,15,14,.517,1.13,1.09,8,8,10,5,5,8,2035,1994,,,743,1691,.439,147,450,.327,402,584,.688,391,1043,386,203,57,372,501,0
Illinois State,30,17,13,.567,3.58,3.34,8,10,10,5,5,7,2003,1961,,1205,717,1561,.459,194,544,.357,375,572,.656,295,977,424,199,85,424,496,0
Illinois ,39,37,2,.949,24.10,8.47,15,1,15,0,9,1,3002,2382,,1570,1092,2258,.484,344,877,.392,474,651,.728,425,1338,727,300,123,428,611,1
Indiana State,31,11,20,.355,0.60,4.44,5,13,10,4,0,12,1890,2009,,1255,647,1624,.398,153,497,.308,443,634,.699,289,989,369,192,53,402,491,0
Indiana,29,15,14,.517,10.18,10.01,10,6,12,4,2,8,1850,1845,,1175,631,1486,.425,173,513,.337,415,581,.714,305,899,339,191,129,374,518,0
Iona,31,15,16,.484,-3.11,-3.43,9,9,9,4,3,11,2221,2211,,,778,1748,.445,152,417,.365,513,725,.708,369,1129,454,203,187,474,626,0
Iowa State ,31,19,12,.613,11.37,8.40,9,7,13,3,4,7,2112,2005,,1255,784,1794,.437,113,387,.292,431,632,.682,376,1100,444,295,120,405,524,1
Iowa ,33,21,12,.636,14.97,9.34,7,9,13,3,3,6,2407,2221,,1335,841,1831,.459,210,558,.376,515,745,.691,371,1196,501,247,174,476,618,1
Fort Wayne,29,7,22,.241,-11.58,-1.78,,,6,5,0,16,1789,2046,,,637,1550,.411,190,565,.336,325,505,.644,335,957,338,176,106,455,512,0
IUPUI,29,16,13,.552,-0.53,-2.12,9,7,9,4,5,8,2068,1991,,1165,733,1662,.441,234,651,.359,368,529,.696,364,944,415,241,82,325,548,0
Jackson State,32,15,17,.469,-15.63,-10.75,10,8,9,5,5,9,2058,2196,,,738,1918,.385,136,524,.260,446,658,.678,458,1169,379,314,141,561,699,0
Jacksonville State,29,7,22,.241,-12.85,-4.93,2,14,6,6,0,13,2013,2178,,1175,710,1592,.446,180,501,.359,413,573,.721,302,922,383,217,105,429,536,0
Jacksonville,29,16,13,.552,-13.98,-9.50,11,9,9,5,6,7,2049,2159,,1170,731,1601,.457,164,454,.361,423,655,.646,314,1011,402,256,162,525,553,0
James Madison,28,6,22,.214,-14.41,-2.22,3,15,4,9,2,12,1695,2022,,1135,590,1449,.407,138,413,.334,377,575,.656,326,919,296,167,100,483,595,0
Kansas State,29,17,12,.586,9.98,7.72,6,10,13,5,2,6,2003,1911,,1175,712,1623,.439,167,443,.377,412,602,.684,346,1015,461,196,63,360,482,0
Kansas ,30,23,7,.767,20.68,10.85,12,4,15,1,6,4,2251,1956,,1220,801,1684,.476,198,539,.367,451,649,.695,350,1129,495,197,115,433,574,1
Kent State,33,20,13,.606,5.43,2.75,11,7,12,2,5,10,2322,2209,,,832,1871,.445,237,674,.352,421,614,.686,391,1105,504,278,57,456,616,0
Kentucky ,34,28,6,.824,19.16,8.10,14,2,14,1,7,3,2503,2127,,1375,901,1940,.464,218,635,.343,483,728,.663,417,1197,509,311,147,445,582,1
La Salle,29,10,19,.345,-4.39,1.16,5,11,4,7,5,10,1817,1978,,,617,1524,.405,214,653,.328,369,507,.728,262,890,366,219,62,394,429,0
Lafayette,28,9,19,.321,-11.65,-2.91,5,9,7,6,2,13,1879,2098,,1130,633,1568,.404,189,626,.302,424,577,.735,285,1002,347,171,86,496,548,0
Lamar,29,18,11,.621,-2.19,-4.39,9,7,12,4,6,7,2338,2167,,1170,804,1830,.439,194,560,.346,536,796,.673,403,1176,440,255,133,449,611,0
Lehigh,29,14,15,.483,-6.73,-6.77,7,7,8,5,5,10,1783,1756,,,584,1514,.386,186,541,.344,429,606,.708,303,997,378,190,63,399,571,0
Liberty,28,13,15,.464,-12.82,-6.01,11,5,8,5,5,10,1902,2082,,1130,663,1598,.415,161,508,.317,415,647,.641,372,1066,347,183,85,444,552,0
Lipscomb,28,16,12,.571,-12.11,-10.49,11,9,12,2,4,9,1939,1936,,,678,1573,.431,204,595,.343,379,577,.657,360,1072,367,178,65,445,540,0
Long Beach State,30,10,20,.333,-6.20,-0.13,7,11,8,5,1,13,1820,1990,,,662,1599,.414,159,500,.318,337,511,.659,356,1008,336,158,90,484,544,0
Long Island University,29,14,15,.483,-12.31,-7.92,10,8,10,3,4,11,1955,2068,,1165,682,1629,.419,201,592,.340,390,589,.662,338,1037,372,150,68,457,581,0
Louisiana ,31,20,11,.645,5.71,1.91,11,4,11,1,5,9,2239,2109,,,804,1802,.446,200,601,.333,431,654,.659,437,1092,375,291,85,482,604,1
Louisiana-Monroe,27,8,19,.296,-13.52,-4.81,2,14,6,7,2,12,1751,1895,,1090,631,1482,.426,154,435,.354,335,529,.633,327,922,337,177,84,446,517,0
Louisiana State ,30,20,10,.667,11.60,7.77,12,4,14,1,4,6,2257,2142,,1225,776,1690,.459,205,571,.359,500,685,.730,349,1097,442,209,127,405,490,1
Louisiana Tech,29,14,15,.483,1.06,1.24,9,9,8,4,5,9,2040,2045,,1170,749,1695,.442,145,463,.313,397,639,.621,388,1118,451,204,80,436,502,0
Louisville ,38,33,5,.868,22.57,6.18,14,2,15,2,10,1,3066,2436,,1525,1011,2165,.467,361,906,.398,683,945,.723,489,1475,590,327,148,535,701,1
Loyola (IL),30,13,17,.433,-1.70,0.99,8,8,7,6,5,11,2018,2081,,,722,1613,.448,183,541,.338,391,565,.692,296,961,372,248,110,464,582,0
Loyola Marymount,28,11,17,.393,-1.17,2.87,3,11,6,6,4,10,1899,1976,,1125,697,1685,.414,139,438,.317,366,499,.733,339,940,430,244,84,383,571,0
Loyola (MD),28,6,22,.214,-14.01,-4.41,5,13,5,8,1,12,1846,2115,,,643,1547,.416,124,377,.329,436,656,.665,346,1026,335,170,77,493,587,0
Maine,29,14,15,.483,-7.04,-4.21,8,10,7,4,6,9,1844,1886,,1165,658,1582,.416,199,554,.359,329,460,.715,338,1057,353,216,116,519,556,0
Manhattan,29,15,14,.517,-1.12,-2.41,9,9,11,2,3,11,2118,2037,,,758,1703,.445,153,473,.323,449,655,.685,355,1002,380,248,150,354,596,0
Marist,28,11,17,.393,-7.02,-4.30,8,10,7,6,4,11,1961,2037,,1125,678,1534,.442,231,603,.383,374,552,.678,268,956,427,164,64,379,496,0
Marquette,31,19,12,.613,6.60,4.73,7,9,15,6,4,5,2080,2008,,1260,694,1636,.424,241,656,.367,451,635,.710,411,1144,424,131,88,449,598,0
Marshall,28,6,22,.214,-3.50,3.61,3,15,4,8,1,13,1869,2068,,,631,1522,.415,206,596,.346,401,564,.711,339,918,338,152,86,409,541,0
Maryland-Baltimore County,29,11,18,.379,-11.66,-5.48,5,13,8,5,2,12,1777,1924,,,640,1610,.398,146,475,.307,351,559,.628,372,1036,383,176,84,382,536,0
Maryland-Eastern Shore,28,2,26,.071,-33.10,-10.03,1,17,1,11,1,14,1581,2227,,,545,1447,.377,147,507,.290,344,566,.608,298,942,271,153,59,625,530,0
Maryland,32,19,13,.594,13.76,7.89,7,9,15,4,2,7,2620,2432,,1305,920,2094,.439,180,542,.332,600,826,.726,479,1385,499,267,200,513,609,0
Massachusetts,28,16,12,.571,0.12,1.51,9,7,12,5,4,6,1802,1841,,,645,1486,.434,158,495,.319,354,525,.674,324,959,415,233,146,435,467,0
McNeese State,28,13,15,.464,-8.40,-4.28,8,8,10,4,3,11,2090,2070,,,747,1684,.444,164,502,.327,432,627,.689,365,998,393,270,85,487,660,0
Memphis,38,22,16,.579,11.30,5.40,9,7,16,7,5,5,2714,2490,,,906,2139,.424,258,746,.346,644,942,.684,545,1456,457,271,205,560,750,0
