School,G,W,L,W - L %,SRS,SOS,W,L,W,L,W,L,Tm., Opp., ,MP,FG,FGA,FG %,3P,3PA,3P %,FT,FTA,FT %,ORB,TRB,AST,STL,BLK,TOV,PF,InNCAA
Air Force,30,18,12,.600,8.61,2.61,9,5,12,1,4,10,1835,1629,,,642,1426,.450,266,729,.365,285,396,.720,231,694,405,262,51,295,484,0
Akron,29,19,10,.655,7.03,1.67,11,7,14,1,5,8,2082,1902,,1175,727,1633,.445,230,616,.373,398,590,.675,308,984,469,198,111,388,546,0
Alabama A&M ,32,18,14,.563,-11.96,-12.86,12,6,9,3,6,8,2229,2169,,,762,1899,.401,198,656,.302,507,827,.613,423,1210,426,338,124,488,619,1
Alabama-Birmingham ,33,22,11,.667,10.42,4.78,10,6,11,3,7,5,2557,2371,,1330,900,1996,.451,217,625,.347,540,776,.696,390,1090,516,382,99,444,646,1
Alabama State,30,15,15,.500,-14.99,-11.66,11,7,9,4,4,8,1739,1839,,,583,1530,.381,136,453,.300,437,673,.649,338,1010,311,201,60,473,524,0
Alabama ,32,24,8,.750,16.74,6.81,12,4,14,1,8,4,2426,2083,,1295,819,1694,.483,249,632,.394,539,732,.736,334,1179,453,164,143,410,471,1
Albany (NY),28,13,15,.464,-2.63,-5.31,9,9,7,4,6,10,1886,1811,,1130,644,1472,.438,174,459,.379,424,587,.722,310,944,366,225,68,414,484,0
Alcorn State,29,7,22,.241,-23.59,-11.31,6,12,5,7,2,13,1677,2016,,,583,1538,.379,140,492,.285,371,618,.600,316,960,327,222,103,572,668,0
American,28,16,12,.571,-3.19,-4.30,8,6,9,3,6,9,1881,1850,,1140,680,1505,.452,178,486,.366,343,481,.713,281,987,361,184,78,420,502,0
Appalachian State,30,18,12,.600,-3.76,-4.04,9,7,13,1,3,11,2192,2070,,1200,797,1801,.443,258,724,.356,340,521,.653,365,1050,485,296,138,447,518,0
Arizona State,32,18,14,.563,9.21,5.36,7,11,13,5,4,7,2433,2310,,1285,832,1841,.452,218,627,.348,551,770,.716,413,1174,530,201,116,467,604,0
Arizona ,37,30,7,.811,18.00,8.03,15,3,15,1,8,3,2948,2579,,1495,1077,2255,.478,253,630,.402,541,697,.776,493,1361,610,296,144,548,596,1
Little Rock,28,18,10,.643,-0.46,0.90,10,4,13,1,4,8,1891,1870,,,668,1467,.455,142,383,.371,413,568,.727,289,922,372,187,89,423,542,0
Arkansas-Pine Bluff,28,7,21,.250,-20.71,-10.29,5,13,3,7,4,13,1654,1898,,,622,1602,.388,119,449,.265,291,448,.650,321,1009,330,192,139,457,488,0
Arkansas State,29,16,13,.552,-1.17,-1.86,7,7,12,2,3,9,2207,2097,,,798,1749,.456,179,481,.372,432,645,.670,392,1103,427,201,82,426,593,0
Arkansas,30,18,12,.600,12.33,3.60,6,10,13,3,2,7,2147,1885,,1205,773,1692,.457,182,489,.372,419,632,.663,369,1022,435,262,156,427,555,0
Army,27,3,24,.111,-20.27,-5.39,1,13,3,11,0,13,1510,1832,,,522,1297,.402,170,489,.348,296,385,.769,173,750,309,141,44,415,441,0
Auburn,31,14,17,.452,2.06,6.60,4,12,8,7,3,7,2191,2332,,,757,1794,.422,259,755,.343,418,576,.726,350,1027,402,228,60,449,624,0
Austin Peay,32,13,19,.406,-3.76,-1.97,9,7,7,5,3,11,2090,2147,,,741,1708,.434,192,550,.349,416,612,.680,339,1018,413,220,79,457,616,0
Ball State,28,15,13,.536,4.27,3.31,10,8,11,3,4,8,1990,1911,,1125,691,1589,.435,204,542,.376,404,588,.687,353,971,334,155,69,341,512,0
Baylor,28,9,19,.321,-2.79,4.10,1,15,8,9,1,9,1863,2008,,1120,640,1442,.444,217,592,.367,366,524,.698,297,776,373,213,53,444,493,0
Belmont,30,14,16,.467,-7.08,-7.32,12,8,9,5,5,9,2108,2101,,1220,717,1679,.427,292,812,.360,382,565,.676,282,954,414,224,96,434,584,0
Bethune-Cookman,30,13,17,.433,-15.87,-11.67,8,10,6,5,5,10,1931,2057,,1210,711,1638,.434,193,562,.343,316,526,.601,280,953,407,243,73,490,577,0
Binghamton,29,12,17,.414,-4.46,-2.57,8,10,7,5,2,10,1784,1839,,1160,624,1589,.393,194,596,.326,342,521,.656,359,1008,302,194,87,394,579,0
Birmingham-Southern,30,16,14,.533,-7.24,-8.24,7,9,7,4,6,9,1974,1893,,,644,1446,.445,207,580,.357,479,664,.721,,996,335,157,66,400,587,0
Boise State,34,16,18,.471,-2.96,0.61,6,12,11,7,3,10,2393,2524,,,856,1987,.431,263,735,.358,418,610,.685,427,1193,456,178,80,507,629,0
Boston College ,30,25,5,.833,14.38,6.41,13,3,16,1,7,2,2174,1935,,1215,768,1685,.456,124,493,.252,514,722,.712,424,1135,527,217,123,403,453,1
Boston University,29,20,9,.690,3.24,-3.86,14,4,10,2,10,6,1822,1616,,1165,659,1531,.430,130,414,.314,374,556,.673,323,1030,356,202,143,350,453,0
Bowling Green State,29,18,11,.621,1.98,1.76,10,8,12,3,6,7,2023,1990,,,718,1471,.488,187,493,.379,400,535,.748,254,902,488,196,110,435,619,0
Bradley,28,13,15,.464,3.23,4.55,6,12,12,3,1,11,1959,1996,,,699,1613,.433,151,470,.321,410,577,.711,350,1046,379,208,137,446,590,0
Brigham Young,30,9,21,.300,1.02,6.69,3,11,6,8,2,9,1972,2070,,,690,1648,.419,211,583,.362,381,530,.719,347,1017,370,183,104,439,551,0
Brown,28,12,16,.429,-7.29,-5.54,5,9,5,6,6,9,1849,1898,,,620,1481,.419,201,564,.356,408,586,.696,277,884,374,252,67,401,454,0
Bucknell ,33,23,10,.697,2.12,-2.19,10,4,12,1,8,7,2097,1946,,1325,704,1585,.444,218,591,.369,471,672,.701,306,1044,416,262,96,508,630,1
Buffalo,33,23,10,.697,5.96,2.39,11,7,13,2,8,7,2462,2344,,,876,1946,.450,220,619,.355,490,717,.683,426,1237,460,290,86,510,711,0
Butler,28,13,15,.464,0.62,-0.85,7,9,10,4,3,9,1811,1709,,,625,1373,.455,236,635,.372,325,440,.739,181,730,332,133,57,282,462,0
Cal Poly,27,5,22,.185,-12.76,-0.55,3,15,4,10,1,12,1834,2147,,1080,633,1494,.424,190,537,.354,378,510,.741,274,881,283,168,77,447,541,0
Cal State Fullerton,32,21,11,.656,0.31,-0.83,12,6,10,2,9,7,2408,2289,,,920,2055,.448,253,716,.353,315,457,.689,428,1211,472,211,53,423,586,0
Cal State Northridge,31,18,13,.581,1.74,-0.98,12,6,9,2,7,9,2229,2085,,1255,782,1722,.454,171,505,.339,494,697,.709,367,1005,436,340,77,502,647,0
UC-Irvine,29,16,13,.552,-2.80,-1.80,8,10,9,4,6,8,1991,1962,,1165,718,1560,.460,164,462,.355,391,558,.701,280,991,440,141,75,392,520,0
UC-Riverside,28,9,19,.321,-8.51,-1.27,4,14,7,7,1,12,1745,1876,,,604,1465,.412,170,514,.331,367,532,.690,293,938,386,148,59,428,517,0
UC-Santa Barbara,29,11,18,.379,-4.14,-0.40,7,11,8,4,2,13,1718,1823,,1165,596,1465,.407,183,540,.339,343,523,.656,286,889,308,207,88,363,464,0
University of California,29,13,16,.448,2.59,5.97,6,12,8,9,4,6,1956,2054,,,738,1644,.449,110,344,.320,370,590,.627,348,1011,422,141,98,432,509,0
Campbell,27,2,25,.074,-20.80,-6.58,0,20,1,10,1,15,1681,2065,,1090,619,1520,.407,130,409,.318,313,503,.622,370,983,292,175,40,507,555,0
Canisius,29,11,18,.379,-8.79,-4.52,8,10,8,7,3,11,2089,2213,,1200,761,1745,.436,195,543,.359,372,540,.689,321,1046,379,214,122,392,536,0
Centenary (LA),27,3,24,.111,-16.77,-1.84,1,15,2,9,1,14,1734,2103,,,594,1417,.419,178,489,.364,368,517,.712,,795,304,166,47,453,595,0
Central Connecticut State,28,12,16,.429,-8.26,-7.23,8,10,7,6,5,9,1919,1948,,1125,675,1518,.445,186,503,.370,383,523,.732,347,927,383,169,52,406,470,0
Central Florida ,33,24,9,.727,-4.91,-7.78,13,7,12,3,8,5,2304,2152,,1330,784,1702,.461,283,759,.373,453,651,.696,405,1174,512,221,143,496,622,1
Central Michigan,28,10,18,.357,-7.35,2.92,4,14,8,7,2,11,1855,2102,,1120,637,1522,.419,183,524,.349,398,571,.697,327,898,339,212,66,490,616,0
Charleston Southern,30,13,17,.433,-12.49,-6.53,7,9,7,6,5,9,1762,1913,,,651,1518,.429,155,439,.353,305,477,.639,281,975,363,213,98,475,549,0
Charlotte ,29,21,8,.724,9.63,3.97,12,4,12,2,7,5,2257,2093,,1180,763,1767,.432,232,630,.368,499,730,.684,420,1119,409,252,92,389,495,1
Chattanooga ,31,20,11,.645,-1.37,-3.59,10,6,13,3,7,7,2253,2034,,1240,795,1746,.455,168,554,.303,495,729,.679,509,1284,450,231,60,535,523,1
Chicago State,28,9,19,.321,-7.44,-1.29,7,9,6,4,2,14,1808,1980,,1125,652,1519,.429,151,464,.325,353,567,.623,313,874,330,225,100,383,528,0
Cincinnati ,33,25,8,.758,17.64,6.74,12,4,15,2,7,3,2505,2130,,1330,839,1923,.436,221,634,.349,606,878,.690,471,1355,493,179,225,435,586,1
Citadel,28,12,16,.429,-13.98,-6.65,4,12,8,6,4,9,1868,1953,,,642,1579,.407,180,562,.320,404,626,.645,363,1057,290,226,114,494,598,0
Clemson,32,16,16,.500,11.23,8.86,5,11,10,5,4,8,2294,2218,,1285,832,1878,.443,198,596,.332,432,719,.601,450,1186,463,319,166,565,652,0
Cleveland State,26,9,17,.346,-4.70,0.52,6,10,7,5,2,12,1772,1872,,,610,1438,.424,177,552,.321,375,540,.694,313,871,376,204,50,430,528,0
Coastal Carolina,29,10,19,.345,-11.90,-6.63,7,9,8,5,2,13,1976,2068,,1160,722,1686,.428,204,567,.360,328,511,.642,341,988,414,215,53,407,571,0
Colgate,28,12,16,.429,-8.62,-4.97,7,7,8,4,4,9,1848,1904,,1125,674,1547,.436,188,507,.371,312,441,.707,286,921,355,163,79,413,503,0
College of Charleston,28,18,10,.643,-0.66,-4.98,10,6,13,3,4,6,2018,1897,,1130,721,1710,.422,177,551,.321,399,558,.715,360,1042,415,249,90,379,534,0
Colorado State,28,11,17,.393,2.36,3.88,3,11,11,4,0,12,1966,1943,,,671,1431,.469,139,408,.341,485,664,.730,295,991,423,160,150,446,564,0
Colorado,30,14,16,.467,4.91,8.50,4,12,9,6,4,9,2147,2218,,,771,1774,.435,223,632,.353,382,607,.629,369,1086,419,190,158,418,570,0
Columbia,27,12,15,.444,-8.56,-6.56,3,11,8,5,4,9,1734,1773,,,591,1401,.422,197,550,.358,355,508,.699,298,923,369,178,89,473,585,0
Connecticut ,31,23,8,.742,18.82,7.62,13,3,14,3,7,3,2419,2072,,,862,1872,.460,154,486,.317,541,773,.700,478,1412,531,189,275,468,492,1
Coppin State,29,14,15,.483,-8.51,-6.16,13,5,6,3,7,11,1765,1833,,,602,1526,.394,103,360,.286,458,663,.691,346,972,278,247,95,429,554,0
Cornell,27,13,14,.481,-7.65,-5.46,8,6,7,4,6,9,1733,1788,,1090,614,1370,.448,184,486,.379,321,428,.750,254,811,354,179,82,389,462,0
Creighton ,34,23,11,.676,10.14,3.84,11,7,11,5,7,5,2421,2207,,1370,823,1820,.452,293,707,.414,482,660,.730,336,1063,483,234,111,412,598,1
Dartmouth,27,10,17,.370,-11.20,-4.12,7,7,9,4,1,13,1568,1740,,1090,567,1373,.413,165,437,.378,269,416,.647,253,788,344,184,92,381,506,0
Davidson,32,23,9,.719,1.64,-1.08,16,0,11,3,11,4,2316,2102,,1290,781,1802,.433,286,782,.366,468,634,.738,405,1217,470,174,46,471,585,0
Dayton,29,18,11,.621,3.52,0.38,10,6,12,4,5,6,1877,1786,,,639,1554,.411,224,592,.378,375,519,.723,333,976,387,170,56,380,586,0
Delaware State ,33,19,14,.576,-6.68,-6.89,14,4,9,1,6,11,2043,2036,,,667,1585,.421,213,622,.342,496,668,.743,334,911,351,264,92,461,538,1
Delaware,31,11,20,.355,-5.66,-2.47,7,11,7,6,3,11,2017,2116,,,723,1684,.429,182,573,.318,389,594,.655,337,1101,400,191,88,518,604,0
Denver,31,20,11,.645,4.56,-0.44,12,3,12,1,6,9,2266,2076,,1240,824,1735,.475,197,524,.376,421,602,.699,302,1030,485,230,152,405,491,0
DePaul,31,20,11,.645,8.95,4.62,10,6,14,3,5,7,2120,1986,,,768,1740,.441,179,513,.349,405,593,.683,417,1131,432,171,105,375,541,0
Detroit Mercy,30,14,16,.467,1.63,1.01,9,7,9,5,3,11,1840,1809,,1200,680,1558,.436,123,408,.301,357,546,.654,391,1051,326,178,85,390,574,0
Drake,29,13,16,.448,2.26,4.57,7,11,9,6,3,9,2010,2077,,1170,657,1564,.420,172,522,.330,524,725,.723,384,1045,350,239,88,455,489,0
Drexel,29,17,12,.586,1.82,-1.91,12,6,8,3,8,8,2022,1914,,1175,676,1576,.429,224,580,.386,446,661,.675,306,993,405,179,144,352,553,0
Duke ,33,27,6,.818,23.01,10.04,11,5,14,1,5,4,2581,2153,,,853,1915,.445,290,763,.380,585,821,.713,432,1261,421,287,220,454,612,1
Duquesne,30,8,22,.267,-6.60,0.90,5,11,4,9,3,11,2014,2239,,1210,738,1763,.419,178,549,.324,360,471,.764,371,1041,440,190,123,416,603,0
East Carolina,28,9,19,.321,-2.61,5.70,4,12,6,7,1,11,1793,1934,,,641,1606,.399,120,413,.291,391,620,.631,403,1118,350,178,116,450,570,0
East Tennessee State,29,10,19,.345,-9.80,-3.30,4,12,8,6,1,13,2228,2283,,,823,1811,.454,197,530,.372,385,567,.679,362,1094,342,234,70,493,521,0
Eastern Illinois,28,12,16,.429,-7.75,-3.08,7,9,9,4,2,12,1914,2016,,1130,674,1496,.451,168,454,.370,398,545,.730,311,986,389,135,101,444,559,0
Eastern Kentucky ,31,22,9,.710,-2.68,-5.18,11,5,12,1,8,7,2256,2078,,1250,845,1773,.477,194,552,.351,372,555,.670,360,1103,480,232,122,451,599,1
Eastern Michigan,30,12,18,.400,-2.37,0.78,5,13,9,5,1,12,2178,2204,,1210,718,1627,.441,173,508,.341,569,821,.693,329,1009,377,228,79,455,581,0
