School,G,W,L,W - L %,SRS,SOS,W,L,W,L,W,L,Tm., Opp., ,MP,FG,FGA,FG %,3P,3PA,3P %,FT,FTA,FT %,ORB,TRB,AST,STL,BLK,TOV,PF,InNCAA
West Virginia,28,14,14,.500,3.65,5.00,6,10,,,,,1974,2012,,,736,1634,.450,152,460,.330,350,536,.653,391,1046,433,203,123,471,504,0
Western Carolina,28,14,14,.500,-10.42,-4.94,7,9,,,,,2153,2248,,,813,1797,.452,167,520,.321,360,518,.695,368,1021,446,242,69,449,535,0
Western Illinois,30,8,22,.267,-9.75,-2.68,3,13,,,,,1975,2123,,,716,1640,.437,210,567,.370,333,488,.682,372,1062,482,201,49,556,534,0
Western Kentucky,29,11,18,.379,-4.00,-1.45,8,8,,,,,1995,2069,,,728,1642,.443,169,499,.339,370,558,.663,369,1112,384,153,119,528,578,0
Western Michigan,28,10,18,.357,-3.38,1.87,6,12,,,,,2044,2191,,,715,1682,.425,159,503,.316,455,668,.681,361,1003,360,194,70,440,636,0
Wichita State,29,12,17,.414,0.56,1.92,5,13,,,,,1925,1954,,,648,1593,.407,190,591,.321,439,621,.707,369,1014,407,241,58,453,680,0
William & Mary,28,11,17,.393,-5.55,-0.92,6,10,,,,,1922,1994,,,678,1593,.426,188,537,.350,378,535,.707,310,990,394,163,122,431,527,0
Winthrop ,30,21,9,.700,-1.04,-7.41,11,3,,,,,2193,1941,,,733,1719,.426,251,702,.358,476,717,.664,394,1171,406,215,104,474,584,1
Wisconsin ,36,22,14,.611,16.67,12.50,8,8,,,,,2157,2007,,,765,1793,.427,207,602,.344,420,617,.681,298,1107,478,236,102,408,658,1
Wofford,30,14,16,.467,-7.64,-2.89,8,8,,,,,2078,2184,,,721,1756,.411,214,634,.338,422,623,.677,370,1060,383,184,91,389,555,0
Wright State,28,11,17,.393,-5.22,-0.15,6,8,,,,,1717,1859,,,567,1309,.433,139,419,.332,444,603,.736,244,881,328,171,53,480,508,0
Wyoming,31,19,12,.613,6.88,2.84,8,6,,,,,2567,2401,,,916,2085,.439,222,635,.350,513,727,.706,450,1260,501,249,102,441,612,0
Xavier,33,21,12,.636,9.36,3.42,9,7,,,,,2481,2285,,,856,1979,.433,220,627,.351,549,773,.710,509,1260,474,261,118,540,599,0
Yale,27,7,20,.259,-15.73,-8.47,5,9,,,,,1585,1781,,,563,1436,.392,103,372,.277,356,530,.672,327,963,267,160,83,439,512,0
Youngstown State,28,12,16,.429,-8.07,-3.66,9,7,,,,,1876,1974,,,696,1593,.437,154,479,.322,330,484,.682,316,1039,410,198,94,29,622,0
