Temple NCAA,31,23,8,.742,17.37,8.34,12,4,,,,,1977,1697,,,718,1725,.416,158,465,.340,383,599,.639,,1162,313,253,110,265,414
Tennessee State NCAA,31,19,12,.613,0.02,-2.78,12,4,,,,,2488,2300,,,913,1972,.463,221,609,.363,441,677,.651,,1324,463,172,146,495,584
Texas Southern NCAA,30,19,11,.633,-5.86,-7.40,12,2,,,,,2496,2342,,,869,2027,.429,202,643,.314,556,831,.669,,1287,410,227,72,379,583
Texas State NCAA,32,25,7,.781,-0.16,-7.40,14,4,,,,,2329,2070,,,861,1772,.486,113,343,.329,494,828,.597,,1243,450,241,98,442,575
Texas NCAA,34,26,8,.765,14.59,3.00,12,2,,,,,3119,2707,,,1138,2438,.467,233,708,.329,610,939,.650,,1387,568,453,133,847,745
Tulsa NCAA,31,23,8,.742,10.90,2.47,15,3,,,,,2586,2268,,,918,1969,.466,254,628,.404,496,718,.691,,1295,571,246,75,447,536
UCLA NCAA,28,21,7,.750,16.24,6.70,13,5,,,,,2410,2143,,,905,1878,.482,110,321,.343,490,699,.701,,1229,495,217,119,458,599
Virginia NCAA,31,18,13,.581,9.58,11.19,8,8,,,,,1988,2038,,,699,1806,.387,134,429,.312,456,690,.661,,1204,379,190,152,455,612
Wake Forest NCAA,33,21,12,.636,13.87,7.84,9,7,,,,,2353,2162,,,817,1831,.446,202,515,.392,517,700,.739,,1206,415,187,169,402,528
Washington State NCAA,31,20,11,.645,13.43,7.63,10,8,,,,,2355,2138,,,846,1792,.472,221,598,.370,442,630,.702,,1131,428,232,93,485,589
Western Kentucky NCAA,31,20,11,.645,8.12,1.72,14,4,,,,,2403,2171,,,883,1886,.468,178,537,.331,459,716,.641,,1211,445,287,137,537,677
Wisconsin NCAA,29,18,11,.621,15.00,9.86,8,10,,,,,2259,2099,,,816,1755,.465,225,609,.369,402,599,.671,,1090,472,201,135,449,592
